time,open_interest,oi_value
2026-07-10 18:00:00+00:00,103633.751,6612403263.383573
2026-07-10 19:00:00+00:00,103562.207,6606533561.458729
2026-07-10 20:00:00+00:00,103540.286,6615944716.6278
2026-07-10 21:00:00+00:00,103789.199,6623832660.092262
2026-07-10 22:00:00+00:00,103506.757,6623170551.372321
2026-07-10 23:00:00+00:00,104196.631,6677951661.1269
2026-07-11 00:00:00+00:00,103937.498,6665459777.991
2026-07-11 01:00:00+00:00,103852.877,6656336654.418903
2026-07-11 02:00:00+00:00,103589.823,6627846623.979275
2026-07-11 03:00:00+00:00,103646.835,6646928538.815814
2026-07-11 04:00:00+00:00,103757.876,6652674862.8548
2026-07-11 05:00:00+00:00,103751.958,6652928303.6172
2026-07-11 06:00:00+00:00,103781.826,6656872491.8191805
2026-07-11 07:00:00+00:00,103744.172,6658996044.9124
2026-07-11 08:00:00+00:00,103704.659,6650849413.7834
2026-07-11 09:00:00+00:00,103680.049,6660375243.7453
2026-07-11 10:00:00+00:00,103619.73,6646490703.363
2026-07-11 11:00:00+00:00,103717.87,6655540300.502221
2026-07-11 12:00:00+00:00,103728.302,6656877881.9822
2026-07-11 13:00:00+00:00,103673.874,6652596983.769
2026-07-11 14:00:00+00:00,103768.465,6663377834.6635
2026-07-11 15:00:00+00:00,104030.624,6691608460.410021
2026-07-11 16:00:00+00:00,102363.712,6565929995.038432
2026-07-11 17:00:00+00:00,102270.07,6560454729.360696
2026-07-11 18:00:00+00:00,102331.756,6579261640.764797
2026-07-11 19:00:00+00:00,102345.455,6580792287.409
2026-07-11 20:00:00+00:00,102414.387,6581347507.937392
2026-07-11 21:00:00+00:00,102251.82,6580627485.500164
2026-07-11 22:00:00+00:00,102079.889,6566456683.700951
2026-07-11 23:00:00+00:00,101971.964,6543463662.472012
2026-07-12 00:00:00+00:00,101386.256,6467203161.257036
2026-07-12 01:00:00+00:00,101308.174,6463137315.0432
2026-07-12 02:00:00+00:00,101137.351,6483511267.98772
2026-07-12 03:00:00+00:00,101299.714,6488504741.986992
2026-07-12 04:00:00+00:00,101436.081,6512378985.1458
2026-07-12 05:00:00+00:00,101537.594,6495796499.8342
2026-07-12 06:00:00+00:00,101259.183,6474309642.654
2026-07-12 07:00:00+00:00,101188.411,6448716825.056905
2026-07-12 08:00:00+00:00,101067.289,6453793233.2996
2026-07-12 09:00:00+00:00,100908.638,6453258763.057
2026-07-12 10:00:00+00:00,100919.018,6451920325.1027565
2026-07-12 11:00:00+00:00,100916.591,6442137987.099359
2026-07-12 12:00:00+00:00,101161.543,6473858019.153164
2026-07-12 13:00:00+00:00,101234.624,6479051119.433521
2026-07-12 14:00:00+00:00,101224.323,6478093488.7602
2026-07-12 15:00:00+00:00,101310.522,6501873291.02354
2026-07-12 16:00:00+00:00,101118.452,6486777432.492096
2026-07-12 17:00:00+00:00,100981.755,6477656441.634
2026-07-12 18:00:00+00:00,100895.27,6462372312.081
2026-07-12 19:00:00+00:00,100960.712,6474070527.792952
2026-07-12 20:00:00+00:00,101032.135,6486455028.0565
2026-07-12 21:00:00+00:00,100977.393,6479567842.7205
2026-07-12 22:00:00+00:00,100924.407,6448042748.99518
2026-07-12 23:00:00+00:00,100634.766,6426043046.4066
2026-07-13 00:00:00+00:00,100679.523,6418319591.25
2026-07-13 01:00:00+00:00,99690.346,6384881086.745785
2026-07-13 02:00:00+00:00,99704.147,6320157755.758887
2026-07-13 03:00:00+00:00,100085.132,6340223210.436261
2026-07-13 04:00:00+00:00,99410.812,6241020718.4412
2026-07-13 05:00:00+00:00,99609.782,6240532920.3436
2026-07-13 06:00:00+00:00,100017.252,6277492806.2532
2026-07-13 07:00:00+00:00,100066.037,6280804917.9642
2026-07-13 08:00:00+00:00,100053.43,6298633562.761
2026-07-13 09:00:00+00:00,99614.486,6293135191.6014
2026-07-13 10:00:00+00:00,99814.772,6295726910.6052
2026-07-13 11:00:00+00:00,102524.985,6443151924.8295
2026-07-13 12:00:00+00:00,102674.651,6456325799.3914
2026-07-13 13:00:00+00:00,103759.31,6495104535.518
2026-07-13 14:00:00+00:00,106290.472,6622128890.59026
2026-07-13 15:00:00+00:00,107064.495,6720941685.900519
2026-07-13 16:00:00+00:00,106886.706,6692000900.639357
2026-07-13 17:00:00+00:00,106681.781,6641852526.245596
2026-07-13 18:00:00+00:00,107407.719,6646408486.208084
2026-07-13 19:00:00+00:00,107516.944,6665770983.9456
2026-07-13 20:00:00+00:00,107163.711,6672567936.595126
2026-07-13 21:00:00+00:00,107001.137,6653678129.025634
2026-07-13 22:00:00+00:00,106957.164,6635102458.280356
2026-07-13 23:00:00+00:00,107176.217,6633993479.866
2026-07-14 00:00:00+00:00,107308.904,6686095881.528
2026-07-14 01:00:00+00:00,107133.418,6698056286.7526
2026-07-14 02:00:00+00:00,107073.234,6692669464.216785
2026-07-14 03:00:00+00:00,106967.166,6687255620.1054
2026-07-14 04:00:00+00:00,106667.92,6671873857.171097
2026-07-14 05:00:00+00:00,106553.564,6682887289.884249
2026-07-14 06:00:00+00:00,106325.509,6666884964.56092
2026-07-14 07:00:00+00:00,106269.935,6652360596.360873
2026-07-14 08:00:00+00:00,106236.655,6642935542.488
2026-07-14 09:00:00+00:00,106352.67,6666401049.604239
2026-07-14 10:00:00+00:00,106116.538,6643352658.765224
2026-07-14 11:00:00+00:00,105995.817,6653116192.755086
2026-07-14 12:00:00+00:00,106129.986,6666085134.702169
2026-07-14 13:00:00+00:00,102191.048,6533768597.7664
2026-07-14 14:00:00+00:00,102328.63,6529022902.572898
2026-07-14 15:00:00+00:00,104002.563,6687846512.886649
2026-07-14 16:00:00+00:00,104667.929,6774882907.5546
2026-07-14 17:00:00+00:00,105508.539,6826825843.132909
2026-07-14 18:00:00+00:00,103617.922,6693586716.375638
2026-07-14 19:00:00+00:00,103570.11,6684829179.84
2026-07-14 20:00:00+00:00,103582.455,6684745524.6525
2026-07-14 21:00:00+00:00,103634.847,6688697648.512737
2026-07-14 22:00:00+00:00,103400.195,6684973896.582976
2026-07-14 23:00:00+00:00,105302.509,6827967821.641795
2026-07-15 00:00:00+00:00,105378.41,6851145712.627
2026-07-15 01:00:00+00:00,105846.787,6859025713.401283
2026-07-15 02:00:00+00:00,106022.997,6853739292.814447
2026-07-15 03:00:00+00:00,106351.242,6856783625.466
2026-07-15 04:00:00+00:00,106350.893,6887595656.122413
2026-07-15 05:00:00+00:00,106418.963,6887807751.7305
2026-07-15 06:00:00+00:00,106395.225,6906177891.885
2026-07-15 07:00:00+00:00,106841.895,6922403903.1345
2026-07-15 08:00:00+00:00,106380.929,6864809775.590107
2026-07-15 09:00:00+00:00,106274.857,6880754988.9793
2026-07-15 10:00:00+00:00,106415.893,6879212836.6278
2026-07-15 11:00:00+00:00,106166.602,6861948029.231434
2026-07-15 12:00:00+00:00,106184.235,6870905767.839
2026-07-15 13:00:00+00:00,106890.347,6962722498.379254
2026-07-15 14:00:00+00:00,106740.871,6947773967.4771
2026-07-15 15:00:00+00:00,106636.427,6970351970.300853
2026-07-15 16:00:00+00:00,106468.537,6962286923.987256
2026-07-15 17:00:00+00:00,104845.484,6824340130.818
2026-07-15 18:00:00+00:00,103666.869,6740741189.6739
2026-07-15 19:00:00+00:00,103518.985,6711249668.4335
2026-07-15 20:00:00+00:00,103416.934,6715306217.4362
2026-07-15 21:00:00+00:00,103371.244,6712918248.2356
2026-07-15 22:00:00+00:00,103127.717,6682676061.6
2026-07-15 23:00:00+00:00,103070.845,6682398958.55273
2026-07-16 00:00:00+00:00,102994.606,6666039336.797489
2026-07-16 01:00:00+00:00,103110.998,6656230152.13488
2026-07-16 02:00:00+00:00,103229.446,6678800634.9756
2026-07-16 03:00:00+00:00,103283.306,6673804975.008113
2026-07-16 04:00:00+00:00,103307.822,6672962146.446
2026-07-16 05:00:00+00:00,103238.055,6669853661.545384
2026-07-16 06:00:00+00:00,102592.871,6658061882.8709
2026-07-16 07:00:00+00:00,102273.324,6622446278.3754225
2026-07-16 08:00:00+00:00,102107.543,6555731485.958625
2026-07-16 09:00:00+00:00,102044.577,6540868640.945165
2026-07-16 10:00:00+00:00,102239.323,6549849764.7397
2026-07-16 11:00:00+00:00,102054.457,6550621692.673864
2026-07-16 12:00:00+00:00,102175.196,6562375660.9332
2026-07-16 13:00:00+00:00,102079.794,6527125167.901449
2026-07-16 14:00:00+00:00,101593.646,6537561279.4646
2026-07-16 15:00:00+00:00,100993.592,6515201160.72912
2026-07-16 16:00:00+00:00,100645.102,6509493713.6254
2026-07-16 17:00:00+00:00,100701.176,6490583527.7864
2026-07-16 18:00:00+00:00,101094.809,6474845922.51744
2026-07-16 19:00:00+00:00,100936.778,6483311280.689256
2026-07-16 20:00:00+00:00,100903.362,6482697852.9834
2026-07-16 21:00:00+00:00,100909.289,6468668763.201952
2026-07-16 22:00:00+00:00,100902.255,6471467026.68
2026-07-16 23:00:00+00:00,101405.489,6483826404.4644
2026-07-17 00:00:00+00:00,101759.822,6492865497.457071
2026-07-17 01:00:00+00:00,101509.41,6482593941.42
2026-07-17 02:00:00+00:00,101485.729,6445666930.076992
2026-07-17 03:00:00+00:00,101832.502,6462785519.037387
2026-07-17 04:00:00+00:00,101968.72,6478888531.36
2026-07-17 05:00:00+00:00,101836.876,6463251266.464295
2026-07-17 06:00:00+00:00,102152.918,6416224779.58
2026-07-17 07:00:00+00:00,102653.012,6458047994.447332
2026-07-17 08:00:00+00:00,102556.301,6439797297.4328
2026-07-17 09:00:00+00:00,102044.21,6414243930.075
2026-07-17 10:00:00+00:00,102053.45,6425583503.881027
2026-07-17 11:00:00+00:00,102241.802,6456569796.3
2026-07-17 12:00:00+00:00,101952.693,6450730400.9574
2026-07-17 13:00:00+00:00,101250.465,6385573201.2015
2026-07-17 14:00:00+00:00,101323.077,6394770784.066337
2026-07-17 15:00:00+00:00,100688.722,6358492794.3
2026-07-17 16:00:00+00:00,100363.601,6366304084.0724
2026-07-17 17:00:00+00:00,100739.572,6402855143.755521
2026-07-17 18:00:00+00:00,100544.832,6436558401.1776
2026-07-17 19:00:00+00:00,100412.054,6448813550.069
2026-07-17 20:00:00+00:00,99997.191,6411140627.739926
2026-07-17 21:00:00+00:00,100037.553,6411209558.608342
2026-07-17 22:00:00+00:00,100095.499,6413864322.242863
2026-07-17 23:00:00+00:00,100154.356,6405226695.248767
2026-07-18 00:00:00+00:00,100175.458,6401812818.948
2026-07-18 01:00:00+00:00,100275.16,6405727633.54
2026-07-18 02:00:00+00:00,100370.386,6416598480.6712
2026-07-18 03:00:00+00:00,100362.875,6416359179.35
2026-07-18 04:00:00+00:00,100379.919,6423573160.422975
2026-07-18 05:00:00+00:00,100377.274,6418755276.3862
2026-07-18 06:00:00+00:00,100324.49,6414376689.987
2026-07-18 07:00:00+00:00,100248.985,6411343636.487
2026-07-18 08:00:00+00:00,100378.394,6423411186.225085
2026-07-18 09:00:00+00:00,100541.741,6432369018.1311
2026-07-18 10:00:00+00:00,100553.858,6431714647.894491
2026-07-18 11:00:00+00:00,100531.125,6432116712.440156
2026-07-18 12:00:00+00:00,100624.737,6443515169.18541
2026-07-18 13:00:00+00:00,100800.078,6469609632.676443
2026-07-18 14:00:00+00:00,100546.174,6443132752.324065
2026-07-18 15:00:00+00:00,100705.363,6455148299.597491
2026-07-18 16:00:00+00:00,100702.476,6454011616.5924
2026-07-18 17:00:00+00:00,101808.477,6543139580.164301
2026-07-18 18:00:00+00:00,101669.717,6552604861.110761
2026-07-18 19:00:00+00:00,101495.505,6544235690.392883
2026-07-18 20:00:00+00:00,101498.162,6549585045.5142
2026-07-18 21:00:00+00:00,101273.927,6548929126.4185
2026-07-18 22:00:00+00:00,101150.239,6544258325.330564
2026-07-18 23:00:00+00:00,101127.604,6550754612.788199
2026-07-19 00:00:00+00:00,101424.449,6572983839.0083
2026-07-19 01:00:00+00:00,101989.575,6603875976.0375
2026-07-19 02:00:00+00:00,102765.83,6654087492.5
2026-07-19 03:00:00+00:00,102314.672,6629575002.534472
2026-07-19 04:00:00+00:00,102233.852,6613068280.3164
2026-07-19 05:00:00+00:00,102188.37,6610790469.714
2026-07-19 06:00:00+00:00,102237.473,6614263539.4823
2026-07-19 07:00:00+00:00,102332.031,6619079257.473669
2026-07-19 08:00:00+00:00,102449.548,6627635202.568817
2026-07-19 09:00:00+00:00,102428.504,6624891267.4128
2026-07-19 10:00:00+00:00,102477.77,6609324271.704
2026-07-19 11:00:00+00:00,102544.765,6619931121.7225
2026-07-19 12:00:00+00:00,102500.985,6605737478.916
2026-07-19 13:00:00+00:00,102954.419,6632157164.842109
2026-07-19 14:00:00+00:00,102944.336,6635175173.962748
2026-07-19 15:00:00+00:00,102825.243,6638735799.832164
2026-07-19 16:00:00+00:00,102713.167,6630319075.950912
2026-07-19 17:00:00+00:00,102707.587,6625728061.9222
2026-07-19 18:00:00+00:00,102546.36,6616301401.836
2026-07-19 19:00:00+00:00,102595.321,6606553879.0703
2026-07-19 20:00:00+00:00,102666.36,6615821888.500964
2026-07-19 21:00:00+00:00,102660.335,6623234172.86
2026-07-19 22:00:00+00:00,102507.338,6601065520.08886
2026-07-19 23:00:00+00:00,102347.793,6616047913.3404
2026-07-20 00:00:00+00:00,102374.608,6623104789.6384
2026-07-20 01:00:00+00:00,101787.412,6567924367.9708
2026-07-20 02:00:00+00:00,101745.02,6572888746.108477
2026-07-20 03:00:00+00:00,101889.146,6602426849.7146
2026-07-20 04:00:00+00:00,101868.991,6605114068.1463
2026-07-20 05:00:00+00:00,101858.368,6570720346.2912
2026-07-20 06:00:00+00:00,101646.635,6515422024.971536
2026-07-20 07:00:00+00:00,101639.943,6493775958.27
2026-07-20 08:00:00+00:00,101863.304,6544707095.6696
2026-07-20 09:00:00+00:00,102321.777,6551806631.7978
2026-07-20 10:00:00+00:00,102218.22,6560017817.652
2026-07-20 11:00:00+00:00,102084.126,6562018661.343
2026-07-20 12:00:00+00:00,102587.156,6665726368.993057
2026-07-20 13:00:00+00:00,102116.983,6599534683.7376
2026-07-20 14:00:00+00:00,101681.688,6540021865.213512
2026-07-20 15:00:00+00:00,101801.27,6555796594.262375
2026-07-20 16:00:00+00:00,103462.998,6784484382.975109
2026-07-20 17:00:00+00:00,104344.78,6832350111.708
2026-07-20 18:00:00+00:00,104549.692,6854287966.265421
2026-07-20 19:00:00+00:00,103900.603,6776099614.787139
2026-07-20 20:00:00+00:00,102509.476,6675130050.5872
2026-07-20 21:00:00+00:00,101756.463,6649255723.4424
2026-07-20 22:00:00+00:00,101496.782,6623517598.4688
2026-07-20 23:00:00+00:00,101299.707,6596516174.993767
2026-07-21 00:00:00+00:00,101264.626,6605274763.2935095
2026-07-21 01:00:00+00:00,101597.846,6659444171.5466
2026-07-21 02:00:00+00:00,101441.868,6614517002.94
2026-07-21 03:00:00+00:00,101483.412,6635818815.686881
2026-07-21 04:00:00+00:00,101579.103,6658537467.542285
2026-07-21 05:00:00+00:00,101979.123,6679043647.0168915
2026-07-21 06:00:00+00:00,102345.907,6727250322.999021
2026-07-21 07:00:00+00:00,103165.224,6797928493.827756
2026-07-21 08:00:00+00:00,104682.503,6926945906.013
2026-07-21 09:00:00+00:00,105204.484,6964536840.8
2026-07-21 10:00:00+00:00,105548.744,6993801712.966179
